=======================Plot 3================================
list-id-none,1,1,4,3,235950,78650
list-id-none,1,2,4,6,417870,69645
list-id-none,1,4,4,12,403488,33624
list-id-none,1,8,4,24,459257,19135
list-id-none,1,16,4,48,241818,5037
list-id-m,1,10,4,30,391487,13049,881
list-id-s,1,10,4,30,375263,12508,604
list-id-m,1,20,4,60,675199,11253,752
list-id-s,1,20,4,60,566028,9433,674
list-id-m,1,40,4,120,1024015,8533,939
list-id-s,1,40,4,120,895731,7464,731
list-id-m,1,80,4,240,1915234,7980,901
list-id-s,1,80,4,240,1066861,4445,466
list-id-none,4,1,4,12,731190,60932
list-id-none,4,2,4,24,403719,16821
list-id-none,4,4,4,48,612596,12762
list-id-m,4,10,4,120,1104730,9206,7272
list-id-s,4,10,4,120,758470,6320,1248
list-id-m,4,20,4,240,1443864,6016,4019
list-id-s,4,20,4,240,1708338,7118,11187
list-id-m,4,40,4,480,2317259,4827,6805
list-id-s,4,40,4,480,1732804,3610,3627
list-id-m,4,80,4,960,8077385,8413,12845
list-id-s,4,80,4,960,2573779,2681,3003
list-id-none,8,1,4,24,2068748,86197
list-id-none,8,2,4,48,1327474,27655
list-id-none,8,4,4,96,949796,9893
list-id-none,8,8,4,192,1547664,8060
list-id-m,8,10,4,240,2981222,12421,33081
list-id-s,8,10,4,240,1454715,6061,1083
list-id-m,8,20,4,480,2306595,4805,7383
list-id-s,8,20,4,480,1930357,4021,5186
list-id-m,8,40,4,960,6421185,6688,26190
list-id-s,8,40,4,960,2516849,2621,3844
list-id-m,8,80,4,1920,13719611,7145,33358
list-id-s,8,80,4,1920,4630314,2411,5167
list-id-none,12,1,4,36,1766480,49068
list-id-none,12,2,4,72,2077372,28852
list-id-none,12,8,4,288,2346674,8148
list-id-m,12,10,4,360,3122065,8672,15859
list-id-s,12,10,4,360,1815672,5043,4004
list-id-m,12,20,4,720,5227132,7259,37125
list-id-s,12,20,4,720,5448284,7567,31982
list-id-m,12,40,4,1440,10285181,7142,47991
list-id-s,12,40,4,1440,16690512,11590,67690
list-id-m,12,80,4,2880,18752130,6511,50480
list-id-s,12,80,4,2880,24962103,8667,63982
list-id-none,16,1,4,48,3066448,63884
list-id-none,16,4,4,192,2614089,13615
list-id-none,16,8,4,384,2981734,7764
list-id-m,16,10,4,480,5060695,10543,71539
list-id-s,16,10,4,480,2580895,5376,1314
list-id-m,16,20,4,960,7511340,7824,66524
list-id-s,16,20,4,960,267968165,279133,2690581
list-id-m,16,40,4,1920,16931820,8818,93408
list-id-s,16,40,4,1920,263279321,137124,1743502
list-id-m,16,80,4,3840,13402917,3490,37273
list-id-s,16,80,4,3840,10765985,2803,38
===================== Plot 4 and 5================================
list-none-m,1,1000,1,3000,6147264,2049,41
list-none-s,1,1000,1,3000,6802406,2267,434
list-none-m,1,1000,4,3000,5520408,1840,634
list-none-s,1,1000,4,3000,3327380,1109,519
list-none-m,1,1000,8,3000,5106684,1702,643
list-none-s,1,1000,8,3000,3250164,1083,694
list-none-m,1,1000,16,3000,3084043,1028,362
list-none-s,1,1000,16,3000,945510,315,59
list-none-m,2,1000,1,6000,25562691,4260,4269
list-none-s,2,1000,1,6000,18668462,3111,2262
list-none-m,2,1000,4,6000,15143067,2523,1617
list-none-s,2,1000,4,6000,13158094,2193,1020
list-none-m,2,1000,8,6000,6912488,1152,637
list-none-s,2,1000,8,6000,7389850,1231,528
list-none-m,2,1000,16,6000,9014702,1502,936
list-none-s,2,1000,16,6000,6243998,1040,690
list-none-m,4,1000,1,12000,73433830,6119,9916
list-none-s,4,1000,1,12000,67238571,5603,9930
list-none-m,4,1000,4,12000,30593618,2549,4405
list-none-s,4,1000,4,12000,26979084,2248,3201
list-none-m,4,1000,8,12000,17049022,1420,1766
list-none-s,4,1000,8,12000,13423333,1118,1190
list-none-m,4,1000,16,12000,11271608,939,1053
list-none-s,4,1000,16,12000,8456015,704,729
list-none-m,8,1000,1,24000,487746595,20322,120911
list-none-s,8,1000,1,24000,322456553,13435,75317
list-none-m,8,1000,4,24000,94035064,3918,19740
list-none-s,8,1000,4,24000,60675934,2528,12238
list-none-m,8,1000,8,24000,37149835,1547,6127
list-none-s,8,1000,8,24000,22002864,916,2638
list-none-m,8,1000,16,24000,18583942,774,2022
list-none-s,8,1000,16,24000,11741361,489,1375
list-none-m,12,1000,1,36000,1087295162,30202,312588
list-none-s,12,1000,1,36000,1038195609,28838,294551
list-none-m,12,1000,4,36000,118851469,3301,29428
list-none-s,12,1000,4,36000,98372254,2732,23274
list-none-m,12,1000,8,36000,45454755,1262,9168
list-none-s,12,1000,8,36000,35953539,998,7018
list-none-m,12,1000,16,36000,21260439,590,3363
list-none-s,12,1000,16,36000,16100980,447,2549
